master_project_id,match_group_id,source_record_key,source_dataset,source_project_id,source_project_name,normalised_project_name,source_agency,source_location,source_group,source_url,source_record_count,match_group_size,has_cross_source_match
MASTER-0001,GROUP-0001,budget_paper::BUD-0068923BF1,budget_paper,BUD-0068923BF1,Heathcote Road - The Avenue to Princes Highway (Planning),heathcote road the avenue to princes highway planning,Transport for NSW,Various,Connecting Sydney Roads,,1,1,False
MASTER-0002,GROUP-0002,budget_paper::BUD-029B29C941,budget_paper,BUD-029B29C941,Western Sydney Heavy Vehicle Rest Area (State and Federal Funded),western sydney heavy vehicle rest area state and federal funded,Transport for NSW,Eastern Creek,Connecting Sydney Roads,,2,1,False
MASTER-0003,GROUP-0003,budget_paper::BUD-02D2E44107,budget_paper,BUD-02D2E44107,M1 Tweed Heads and Byron Bay (State and Federal Funded),m1 tweed heads and byron bay state and federal funded,Transport for NSW,Various,Connecting Regional NSW (Roads and Bridges),,1,1,False
MASTER-0004,GROUP-0004,budget_paper::BUD-04E9A9619F,budget_paper,BUD-04E9A9619F,Pedestrian Safety Barriers Blaxland,pedestrian safety barriers blaxland,Transport for NSW,Blaxland,Urban Roads Fund,,1,1,False
MASTER-0005,GROUP-0005,budget_paper::BUD-07A125ADC3,budget_paper,BUD-07A125ADC3,Airport Precinct Safety & Access Program (APSAP),airport precinct safety and access program apsap,Transport for NSW,Various,Other Major Programs,,2,3,True
MASTER-0005,GROUP-0005,project_register::PRJ-0001,project_register,PRJ-0001,Airport Precinct Safety and Access Program (APSAP),airport precinct safety and access program apsap,,,Pipeline,https://www.transport.nsw.gov.au/projects/current-projects/airport-precinct-safety-and-access-program,1,3,True
MASTER-0005,GROUP-0005,project_timeline::TFNSW-0072,project_timeline,TFNSW-0072,Airport Precinct Safety and Access Program (APSAP),airport precinct safety and access program apsap,,,Western Parkland City,,2,3,True
MASTER-0006,GROUP-0006,budget_paper::BUD-0883AFA828,budget_paper,BUD-0883AFA828,"Richmond Road Upgrade between M7 Motorway and Townson Road, Marsden Park (State and Federal Funded)(c)",richmond road upgrade between m7 motorway and townson road marsden park state and federal funded c,Transport for NSW,Colebee,Connecting Sydney Roads,,2,1,False
MASTER-0007,GROUP-0007,budget_paper::BUD-08E4363424,budget_paper,BUD-08E4363424,Western Sydney Long Term Strategic Transport Corridor Preservation,western sydney long term strategic transport corridor preservation,Transport for NSW,Various,Connecting Sydney Roads,,3,1,False
MASTER-0008,GROUP-0008,budget_paper::BUD-09B3DC18E4,budget_paper,BUD-09B3DC18E4,Western Sydney International Airport Wayfinding,western sydney international airport wayfinding,Transport for NSW,Various,Other Major Programs,,2,2,True
MASTER-0008,GROUP-0008,project_timeline::TFNSW-0099,project_timeline,TFNSW-0099,Western Sydney International Airport Wayfinding,western sydney international airport wayfinding,,,Western Parkland City,,1,2,True
MASTER-0009,GROUP-0009,budget_paper::BUD-0EA71AF980,budget_paper,BUD-0EA71AF980,Princes Highway Corridor (NSW) - Jervis Bay to Sussex Inlet Road Upgrade Stage 1 (State and Federal Funded),princes highway corridor nsw jervis bay to sussex inlet road upgrade stage 1 state and federal funded,Transport for NSW,Jervis Bay,Princes Corridor,,1,1,False
MASTER-0010,GROUP-0010,budget_paper::BUD-0EC61A064E,budget_paper,BUD-0EC61A064E,Eastern Ring Road and Badgerys Creek Road South (Planning) (State and Federal Funded),eastern ring road and badgerys creek road south planning state and federal funded,Transport for NSW,Various,Other Major Programs,,3,1,False
MASTER-0011,GROUP-0011,budget_paper::BUD-0EEE412074,budget_paper,BUD-0EEE412074,"Lease Acquisition between $250,000 and $20 million(a)",lease acquisition between 250 000 and 20 million a,NSW Trains,Various,,,3,1,False
MASTER-0012,GROUP-0012,budget_paper::BUD-108031018C,budget_paper,BUD-108031018C,Sheahan Bridge Upgrade (Planning) (State and Federal Funded),sheahan bridge upgrade planning state and federal funded,Transport for NSW,Gundagai,Hume Corridor,,3,1,False
MASTER-0013,GROUP-0013,budget_paper::BUD-11D757DAAB,budget_paper,BUD-11D757DAAB,Francis Road Rail Overpass at Rooty Hill (Planning),francis road rail overpass at rooty hill planning,Transport for NSW,Rooty Hill,Connecting Sydney Roads,,2,1,False
MASTER-0014,GROUP-0014,budget_paper::BUD-11D8E6866A,budget_paper,BUD-11D8E6866A,Devonshire Link Road and Bradfield Metro Link Road (Planning) (State and Federal Funded),devonshire link road and bradfield metro link road planning state and federal funded,Transport for NSW,Kemps Creek,Connecting Sydney Roads,,2,1,False
MASTER-0015,GROUP-0015,budget_paper::BUD-1308623375,budget_paper,BUD-1308623375,New Bus Services for Western Sydney (State and Federal Funded),new bus services for western sydney state and federal funded,Transport for NSW,Various,Other Major Programs,,3,1,False
MASTER-0016,GROUP-0016,budget_paper::BUD-142F883609,budget_paper,BUD-142F883609,"Lease Acquisition between $250,000 and $20 million(a)",lease acquisition between 250 000 and 20 million a,Sydney Trains,Various,,,3,1,False
MASTER-0017,GROUP-0017,budget_paper::BUD-162C3A2891,budget_paper,BUD-162C3A2891,Princes Highway Corridor - Milton Ulladulla Bypass (State and Federal Funded),princes highway corridor milton ulladulla bypass state and federal funded,Transport for NSW,Milton,Princes Corridor,,2,1,False
MASTER-0018,GROUP-0018,budget_paper::BUD-18CFA60B01,budget_paper,BUD-18CFA60B01,Regional Corridors Upgrade Program - Euston to Tocumwal (d),regional corridors upgrade program euston to tocumwal d,Transport for NSW,Various,Regional Corridors Upgrade Program,,1,1,False
MASTER-0019,GROUP-0019,budget_paper::BUD-19CC4BAA16,budget_paper,BUD-19CC4BAA16,Princes Highway Corridor (NSW) - Jervis Bay Road to Hawken Road (State and Federal Funded),princes highway corridor nsw jervis bay road to hawken road state and federal funded,Transport for NSW,Jervis Bay,Princes Corridor,,2,1,False
MASTER-0020,GROUP-0020,budget_paper::BUD-1B446EF3E4,budget_paper,BUD-1B446EF3E4,"Pacific Highway, Wyong Town Centre (State and Federal Funded)",pacific highway wyong town centre state and federal funded,Transport for NSW,Wyong,Connecting Central Coast Roads,,3,1,False
MASTER-0021,GROUP-0021,budget_paper::BUD-1B5414E81E,budget_paper,BUD-1B5414E81E,Mamre Road - Erskine Park Road to Kerrs Road (State and Federal Funded),mamre road erskine park road to kerrs road state and federal funded,Transport for NSW,Kemps Creek,Connecting Sydney Roads,,1,1,False
MASTER-0022,GROUP-0022,budget_paper::BUD-1B82A8C537,budget_paper,BUD-1B82A8C537,"Prospect Highway, Reservoir Road to St Martins Crescent (State and Federal Funded)",prospect highway reservoir road to st martins crescent state and federal funded,Transport for NSW,Prospect,Connecting Sydney Roads,,1,1,False
