master_project_id,master_project_name,project_id,project_name,sector,pipeline_category,estimated_value_code,estimated_value_band,value_minimum_aud_m,value_maximum_aud_m,procurement_strategy_code,procurement_strategy_name,current_phase,current_phase_definition,procurement_start_period,procurement_end_period,construction_start_period,construction_end_period,project_url
MASTER-0005,Airport Precinct Safety and Access Program (APSAP),PRJ-0001,Airport Precinct Safety and Access Program (APSAP),Transport,Pipeline,TBA,To be advised,,,TBA,To be advised,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q3 2026,Q4 2026,Q3 2027,https://www.transport.nsw.gov.au/projects/current-projects/airport-precinct-safety-and-access-program
MASTER-0197,Almond Street to M1 Princes Motorway,PRJ-0002,Almond Street to M1 Princes Motorway,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/picton-road-projects/picton-road-upgrade/index.html
MASTER-0198,Appin Road safety improvements,PRJ-0003,Appin Road safety improvements,Transport,Pipeline,$$,$100M to $250M,100.0,250.0,CO,Construct Only,Construction Procurement,"Preparation, approval and release of procurement documents",Q3 2026,Q4 2026,Q1 2027,Q2 2029,https://roads-waterways.transport.nsw.gov.au/projects/appin-road-improvements/index.html
MASTER-0199,Appin Town Centre By-Pass,PRJ-0004,Appin Town Centre By-Pass,Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning
MASTER-0200,Australia Avenue intersection upgrade,PRJ-0005,Australia Avenue intersection upgrade,Transport,Pipeline,$$,$100M to $250M,100.0,250.0,D&C,Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q4 2026,Q1 2027,Q1 2029,https://roads-waterways.transport.nsw.gov.au/projects/homebush-bay-drive-australia-ave-upgrade/index.html
MASTER-0201,Avoca Drive upgrade Kincumber,PRJ-0006,Avoca Drive upgrade Kincumber,Transport,In Planning,$$,$100M to $250M,100.0,250.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/avoca-drive-upgrade-at-kincumber
MASTER-0202,"Bandon Road Upgrade & Extension, Windsor Road to Richmond Road",PRJ-0007,"Bandon Road Upgrade & Extension, Windsor Road to Richmond Road",Transport,Pipeline,$$$$,$500M to $1B,500.0,1000.0,TBA,To be advised,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q4 2026,Q1 2027,Q3 2030,https://www.transport.nsw.gov.au/projects/current-projects/bandon-road-north-west-growth-area
MASTER-0203,Barton Highway upgrade - Stage 2,PRJ-0008,Barton Highway upgrade - Stage 2,Transport,In Planning,$$,$100M to $250M,100.0,250.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/barton-highway-corridor-upgrade-stage-2-barton-highway
MASTER-0204,Bells Line of Road safety improvements,PRJ-0009,Bells Line of Road safety improvements,Transport,In Planning,$,$50M to $100M,50.0,100.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/bells-line-of-road-safety-improvements
MASTER-0205,Bradfield Metro Link Road - Badgery's Creek Road to Proposed Eastern Ring Road,PRJ-0010,Bradfield Metro Link Road - Badgery's Creek Road to Proposed Eastern Ring Road,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/bradfield-precinct-priority-roads
MASTER-0206,Bulli Bypass,PRJ-0011,Bulli Bypass,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/bulli-bypass
MASTER-0207,Burdekin Road and Townson Road upgrade,PRJ-0012,Burdekin Road and Townson Road upgrade,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/north-west-growth-centre-strategy/townson-burdekin-road.html
MASTER-0208,Bus Service Improvement Program,PRJ-0013,Bus Service Improvement Program,Transport,In Planning,$$$$$,Over $1B,1000.0,,,,,,,,,,https://www.transport.nsw.gov.au/
MASTER-0209,Cambridge Avenue upgrade,PRJ-0014,Cambridge Avenue upgrade,Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/cambridge-avenue-glenfield-upgrade
MASTER-0210,Camden Valley Way,PRJ-0015,Camden Valley Way,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning
MASTER-0211,Campbelltown Road,PRJ-0016,Campbelltown Road,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning
MASTER-0031,Castlereagh Connection,PRJ-0017,Castlereagh Connection,Transport,In Planning,$$$$$,Over $1B,1000.0,,,,,,,,,,https://www.transport.nsw.gov.au/
MASTER-0212,Central Precinct Renewal Program - Main Works,PRJ-0018,Central Precinct Renewal Program - Main Works,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/central-precinct-renewal-program
MASTER-0213,Circular Quay renewal,PRJ-0019,Circular Quay renewal,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
MASTER-0214,Cowpasture Road,PRJ-0020,Cowpasture Road,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/
MASTER-0215,Dapto Ramps,PRJ-0021,Dapto Ramps,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-facing-ramps-at-dapto
MASTER-0216,Devonshire Link Road - Mamre Road Stage 2 to Elizabeth Drive,PRJ-0022,Devonshire Link Road - Mamre Road Stage 2 to Elizabeth Drive,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/
MASTER-0217,Devonshire Road - Elizabeth Drive to Bringelly Road,PRJ-0023,Devonshire Road - Elizabeth Drive to Bringelly Road,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
