candidate_key,left_source_dataset,left_source_project_id,left_project_name,right_source_dataset,right_source_project_id,right_project_name,similarity_score,decision,reviewer_notes
project_register::PRJ-0010||project_timeline::TFNSW-0075,project_register,PRJ-0010,Bradfield Metro Link Road - Badgery's Creek Road to Proposed Eastern Ring Road,project_timeline,TFNSW-0075,Bradfield Metro Link Road - Badgerys Creek Road to Proposed Eastern Ring Road,0.9934,pending,
budget_paper::BUD-18CFA60B01||project_register::PRJ-0073,project_register,PRJ-0073,Regional Corridors Upgrade Program – Euston to Tocumwal,budget_paper,BUD-18CFA60B01,Regional Corridors Upgrade Program - Euston to Tocumwal (d),0.9815,pending,
budget_paper::BUD-18CFA60B01||project_timeline::TFNSW-0035,project_timeline,TFNSW-0035,Regional Corridors Upgrade Program – Euston to Tocumwal,budget_paper,BUD-18CFA60B01,Regional Corridors Upgrade Program - Euston to Tocumwal (d),0.9815,pending,
project_register::PRJ-0061||project_timeline::TFNSW-0048,project_register,PRJ-0061,New Electric Bus Program - Tranche 2,project_timeline,TFNSW-0048,New Electric Bus Program Tranche 1,0.9706,pending,
budget_paper::BUD-7CD033B2CE||project_register::PRJ-0082,project_register,PRJ-0082,Spring Farm Parkway Stage 2,budget_paper,BUD-7CD033B2CE,Spring Farm Parkway Stage 1,0.963,pending,
budget_paper::BUD-7CD033B2CE||project_timeline::TFNSW-0066,project_timeline,TFNSW-0066,Spring Farm Parkway Stage 2,budget_paper,BUD-7CD033B2CE,Spring Farm Parkway Stage 1,0.963,pending,
project_register::PRJ-0031||project_timeline::TFNSW-0087,project_register,PRJ-0031,Garfield Road Upgrade West,project_timeline,TFNSW-0087,Garfield Road Upgrade East,0.9615,pending,
project_register::PRJ-0032||project_timeline::TFNSW-0088,project_register,PRJ-0032,Garfield Road upgrade East,project_timeline,TFNSW-0088,Garfield Road Upgrade West,0.9615,pending,
budget_paper::BUD-3B1FE785A2||project_register::PRJ-0084,project_register,PRJ-0084,Sydney Metro - Western Sydney Airport - Northern Extension Final Business Case,budget_paper,BUD-3B1FE785A2,Sydney Metro-Western Sydney Airport-Northern extension- Business Case,0.9577,pending,
budget_paper::BUD-3B1FE785A2||project_timeline::TFNSW-0055,project_timeline,TFNSW-0055,Sydney Metro - Western Sydney Airport - Northern Extension Final Business Case,budget_paper,BUD-3B1FE785A2,Sydney Metro-Western Sydney Airport-Northern extension- Business Case,0.9577,pending,
budget_paper::BUD-CA0145C609||project_register::PRJ-0074,project_register,PRJ-0074,Regional Corridors Upgrade Program – Muswellbrook to Armidale,budget_paper,BUD-CA0145C609,Regional Corridors Upgrade Program - Muswellbrook to Armidale (Phase 2),0.9365,pending,
budget_paper::BUD-CA0145C609||project_timeline::TFNSW-0036,project_timeline,TFNSW-0036,Regional Corridors Upgrade Program – Muswellbrook to Armidale,budget_paper,BUD-CA0145C609,Regional Corridors Upgrade Program - Muswellbrook to Armidale (Phase 2),0.9365,pending,
project_register::PRJ-0064||project_timeline::TFNSW-0030,project_register,PRJ-0064,"Newell Highway, improve flood mitigation between West Wyalong and Forbes",project_timeline,TFNSW-0030,"Newell Highway, improve flood mitigation between West Wyalong and Forbes - July November",0.9103,pending,
budget_paper::BUD-0068923BF1||project_register::PRJ-0038,project_register,PRJ-0038,"Heathcote Road, The Avenue to Princes Highway",budget_paper,BUD-0068923BF1,Heathcote Road - The Avenue to Princes Highway (Planning),0.9072,pending,
budget_paper::BUD-0068923BF1||project_timeline::TFNSW-0070,project_timeline,TFNSW-0070,"Heathcote Road, The Avenue to Princes Highway",budget_paper,BUD-0068923BF1,Heathcote Road - The Avenue to Princes Highway (Planning),0.9072,pending,
project_register::PRJ-0085||project_timeline::TFNSW-0057,project_register,PRJ-0085,Sydney Metro West - Parramatta Integrated Station,project_timeline,TFNSW-0057,Sydney Metro West - Pyrmont Integrated Station,0.9011,pending,
project_register::PRJ-0086||project_timeline::TFNSW-0056,project_register,PRJ-0086,Sydney Metro West - Pyrmont Integrated Station,project_timeline,TFNSW-0056,Sydney Metro West - Parramatta Integrated Station,0.9011,pending,
budget_paper::BUD-E409D02F81||project_register::PRJ-0075,project_register,PRJ-0075,Regional Corridors Upgrade Program – Newcastle to Dubbo,budget_paper,BUD-E409D02F81,Regional Corridors Upgrade Program - Newcastle to Dubbo (Phase 2)(d)(f),0.8983,pending,
budget_paper::BUD-E409D02F81||project_timeline::TFNSW-0037,project_timeline,TFNSW-0037,Regional Corridors Upgrade Program – Newcastle to Dubbo,budget_paper,BUD-E409D02F81,Regional Corridors Upgrade Program - Newcastle to Dubbo (Phase 2)(d)(f),0.8983,pending,
budget_paper::BUD-711DBFA778||project_register::PRJ-0052,project_register,PRJ-0052,"Mona Vale Road West upgrade, McCarrs Creek Road to Powder Works Road",budget_paper,BUD-711DBFA778,"Mona Vale Road, McCarrs Creek Road To Powder Works Road",0.8926,pending,
budget_paper::BUD-711DBFA778||project_timeline::TFNSW-0071,project_timeline,TFNSW-0071,"Mona Vale Road West upgrade, McCarrs Creek Road to Powder Works Road",budget_paper,BUD-711DBFA778,"Mona Vale Road, McCarrs Creek Road To Powder Works Road",0.8926,pending,
budget_paper::BUD-688B325B42||project_register::PRJ-0013,project_register,PRJ-0013,Bus Service Improvement Program,budget_paper,BUD-688B325B42,Rail Service Improvement Program,0.8889,pending,
budget_paper::BUD-688B325B42||project_timeline::TFNSW-0045,project_timeline,TFNSW-0045,Bus Service Improvement Program,budget_paper,BUD-688B325B42,Rail Service Improvement Program,0.8889,pending,
budget_paper::BUD-E966C277DD||project_register::PRJ-0039,project_register,PRJ-0039,Henry Lawson Drive Stage 1B,budget_paper,BUD-E966C277DD,Henry Lawson Drive Upgrade Stage 1B,0.871,pending,
budget_paper::BUD-E966C277DD||project_timeline::TFNSW-0062,project_timeline,TFNSW-0062,Henry Lawson Drive Stage 1B,budget_paper,BUD-E966C277DD,Henry Lawson Drive Upgrade Stage 1B,0.871,pending,
budget_paper::BUD-82A62F45E8||project_register::PRJ-0078,project_register,PRJ-0078,Safe Accessible Transport,budget_paper,BUD-82A62F45E8,"Safe, Accessible Transport Program",0.8621,pending,
budget_paper::BUD-82A62F45E8||project_timeline::TFNSW-0041,project_timeline,TFNSW-0041,Safe Accessible Transport,budget_paper,BUD-82A62F45E8,"Safe, Accessible Transport Program",0.8621,pending,
budget_paper::BUD-851F6E1FF5||project_timeline::TFNSW-0050,project_timeline,TFNSW-0050,Sydney Fish Markets Ferry Wharf,budget_paper,BUD-851F6E1FF5,Sydney Fish Markets Ferry Stop,0.8525,pending,
budget_paper::BUD-EB9D9B0E5A||project_register::PRJ-0078,project_register,PRJ-0078,Safe Accessible Transport,budget_paper,BUD-EB9D9B0E5A,"Safe, Accessible Transport Upgrades",0.8475,pending,
budget_paper::BUD-EB9D9B0E5A||project_timeline::TFNSW-0041,project_timeline,TFNSW-0041,Safe Accessible Transport,budget_paper,BUD-EB9D9B0E5A,"Safe, Accessible Transport Upgrades",0.8475,pending,
budget_paper::BUD-808CD55D38||project_register::PRJ-0071,project_register,PRJ-0071,Parramatta Light Rail Stage 2 Main Works,budget_paper,BUD-808CD55D38,Parramatta Light Rail Stage 2,0.8406,pending,
budget_paper::BUD-808CD55D38||project_timeline::TFNSW-0051,project_timeline,TFNSW-0051,Parramatta Light Rail Stage 2 Main Works,budget_paper,BUD-808CD55D38,Parramatta Light Rail Stage 2,0.8406,pending,
budget_paper::BUD-45FC0ADBD6||project_register::PRJ-0039,project_register,PRJ-0039,Henry Lawson Drive Stage 1B,budget_paper,BUD-45FC0ADBD6,Henry Lawson Drive Upgrade Stage 1A,0.8387,pending,
budget_paper::BUD-45FC0ADBD6||project_timeline::TFNSW-0062,project_timeline,TFNSW-0062,Henry Lawson Drive Stage 1B,budget_paper,BUD-45FC0ADBD6,Henry Lawson Drive Upgrade Stage 1A,0.8387,pending,
budget_paper::BUD-2C6DC8B5F7||project_register::PRJ-0017,project_register,PRJ-0017,Castlereagh Connection,budget_paper,BUD-2C6DC8B5F7,Castlereagh Connection - Planning,0.8302,pending,
budget_paper::BUD-2C6DC8B5F7||project_timeline::TFNSW-0002,project_timeline,TFNSW-0002,Castlereagh Connection,budget_paper,BUD-2C6DC8B5F7,Castlereagh Connection - Planning,0.8302,pending,
project_register::PRJ-0060||project_timeline::TFNSW-0048,project_register,PRJ-0060,New Electric Bus Program,project_timeline,TFNSW-0048,New Electric Bus Program Tranche 1,0.8276,pending,
project_register::PRJ-0060||project_timeline::TFNSW-0049,project_register,PRJ-0060,New Electric Bus Program,project_timeline,TFNSW-0049,New Electric Bus Program Tranche 2,0.8276,pending,
budget_paper::BUD-82E6706A7A||project_register::PRJ-0061,project_register,PRJ-0061,New Electric Bus Program - Tranche 2,budget_paper,BUD-82E6706A7A,New Electric Bus Program,0.8276,pending,
budget_paper::BUD-82E6706A7A||project_timeline::TFNSW-0048,project_timeline,TFNSW-0048,New Electric Bus Program Tranche 1,budget_paper,BUD-82E6706A7A,New Electric Bus Program,0.8276,pending,
budget_paper::BUD-82E6706A7A||project_timeline::TFNSW-0049,project_timeline,TFNSW-0049,New Electric Bus Program Tranche 2,budget_paper,BUD-82E6706A7A,New Electric Bus Program,0.8276,pending,
budget_paper::BUD-D748A5085A||project_register::PRJ-0098,project_register,PRJ-0098,Woollahra Station Activation,budget_paper,BUD-D748A5085A,Woollahra Train Station,0.8235,pending,
budget_paper::BUD-D748A5085A||project_timeline::TFNSW-0042,project_timeline,TFNSW-0042,Woollahra Station Activation,budget_paper,BUD-D748A5085A,Woollahra Train Station,0.8235,pending,
